Timestamp,Username,IP Address,Service Name,Operation,Resource,Allowed,Impersonator,Family,Qualifier,Delegation Token ID,Destination,Permissions,Source,Usage Type,Operation Text,url,Privilege,Query ID,Session ID,Status,Database Name,Object Type,Resource Path,Table Name
2019-11-21T22:18:03.832Z,user_fyf,10.67.59.15,hdfs,getfileinfo,/user/hive/warehouse/bddlcru.db/kcim23t/part-00329,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00329,,,,,,,,,,,
2019-11-21T22:18:03.820Z,user_fyf,10.67.59.26,hdfs,open,/user/hive/warehouse/bddlcru.db/kcim23t/part-00147,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00147,,,,,,,,,,,
2019-11-21T22:18:03.818Z,user_fyf,10.67.59.26,hdfs,getfileinfo,/user/hive/warehouse/bddlcru.db/kcim23t/part-00147,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00147,,,,,,,,,,,
2019-11-21T22:18:03.817Z,user_fyf,10.67.59.24,hdfs,getfileinfo,/user/hive/warehouse/bddlcru.db/kcim23t/part-00575,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00575,,,,,,,,,,,
2019-11-21T22:18:03.808Z,user_fyf,10.67.59.16,hdfs,getfileinfo,/user/hive/warehouse/bddlcru.db/kcim23t/part-00113,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00113,,,,,,,,,,,
2019-11-21T22:18:03.796Z,user_fyf,10.67.59.16,hdfs,open,/user/hive/warehouse/bddlcru.db/kcim23t/part-00068,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00068,,,,,,,,,,,
2019-11-21T22:18:03.793Z,user_fyf,10.67.59.24,hdfs,open,/user/hive/warehouse/bddlcru.db/kcim23t/part-00560,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00560,,,,,,,,,,,
2019-11-21T22:18:03.792Z,user_fyf,10.67.59.24,hdfs,open,/user/hive/warehouse/bddlcru.db/kcim23t/part-00688,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00688,,,,,,,,,,,
2019-11-21T22:18:03.782Z,user_fyf,10.67.59.16,hdfs,getfileinfo,/user/hive/warehouse/bddlcru.db/kcim23t/part-00068,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00068,,,,,,,,,,,
2019-11-21T22:18:03.782Z,user_fyf,10.67.59.24,hdfs,getfileinfo,/user/hive/warehouse/bddlcru.db/kcim23t/part-00688,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00688,,,,,,,,,,,
